,Player,Role,Price,Team,Year,Origin,Retained
394,Prabhsimran Singh,Wicket-Keeper,0.6,PBKS,2023,Indian,Yes
395,Rishi Dhawan,All-Rounder,0.55,PBKS,2023,Indian,Yes
396,Sikandar Raza,All-Rounder,0.5,PBKS,2023,Overseas,No
397,Bhanuka Rajapaksa,Batter,0.5,PBKS,2023,Overseas,Yes
398,Harpreet Singh Bhatia,Batter,0.4,PBKS,2023,Indian,No
399,Atharva Taide,Batter,0.2,PBKS,2023,Indian,Yes
400,Mohit Rathee,All-Rounder,0.2,PBKS,2023,Indian,No
401,Shivam Singh,All-Rounder,0.2,PBKS,2023,Indian,No
402,Vidhwath Kaverappa,Bowler,0.2,PBKS,2023,Indian,No
403,Jitesh Sharma,Wicket-Keeper,0.2,PBKS,2023,Indian,Yes
404,Baltej Singh,Bowler,0.2,PBKS,2023,Indian,Yes
405,Sanju Samson,Wicket-Keeper,14.0,RR,2023,Indian,Yes
406,Prasidh Krishna,Bowler,10.0,RR,2023,Indian,Yes
407,Jos Buttler,Wicket-Keeper,10.0,RR,2023,Overseas,Yes
408,Shimron Hetmyer,Batter,8.5,RR,2023,Overseas,Yes
409,Trent Boult,Bowler,8.0,RR,2023,Overseas,Yes
410,Devdutt Padikkal,Batter,7.75,RR,2023,Indian,Yes
411,Yuzvendra Chahal,Bowler,6.5,RR,2023,Indian,Yes
412,Jason Holder,All-Rounder,5.75,RR,2023,Overseas,No
413,Ravichandran Ashwin,All-Rounder,5.0,RR,2023,Indian,Yes
414,Yashasvi Jaiswal,Batter,4.0,RR,2023,Indian,Yes
415,Riyan Parag,Batter,3.8,RR,2023,Indian,Yes
416,Navdeep Saini,Bowler,2.6,RR,2023,Indian,Yes
417,Adam Zampa,Bowler,1.5,RR,2023,Overseas,No
418,Joe Root,Batter,1.0,RR,2023,Overseas,No
419,Obed McCoy,Bowler,0.75,RR,2023,Overseas,Yes
420,D Ferreira,Wicket-Keeper,0.5,RR,2023,Overseas,No
421,KM Asif,Bowler,0.3,RR,2023,Indian,No
422,KC Cariappa,Bowler,0.3,RR,2023,Indian,Yes
423,Kuldeep Sen,Bowler,0.2,RR,2023,Indian,Yes
424,Dhruv Jurel,Wicket-Keeper,0.2,RR,2023,Indian,Yes
425,Kunal Singh Rathore,Wicket-Keeper,0.2,RR,2023,Indian,No
426,Abdul Basith,All-Rounder,0.2,RR,2023,Indian,No
427,Akash Vasisht,All-Rounder,0.2,RR,2023,Indian,No
428,Murugan Ashwin,Bowler,0.2,RR,2023,Indian,No
429,Kuldip Yadav,Bowler,0.2,RR,2023,Indian,Yes
430,Virat Kohli,Batter,15.0,RCB,2023,Indian,Yes
431,Glenn Maxwell,All-Rounder,11.0,RCB,2023,Overseas,Yes
432,Harshal Patel,Bowler,10.75,RCB,2023,Indian,Yes
433,Wanindu Hasaranga,All-Rounder,10.75,RCB,2023,Overseas,Yes
434,Josh Hazlewood,Bowler,7.75,RCB,2023,Overseas,Yes
435,Faf du Plessis,Batter,7.0,RCB,2023,Overseas,Yes
436,Mohammed Siraj,Bowler,7.0,RCB,2023,Indian,Yes
437,Dinesh Karthik,Wicket-Keeper,5.5,RCB,2023,Indian,Yes
438,Anuj Rawat,Wicket-Keeper,3.4,RCB,2023,Indian,Yes
439,Will Jacks,Batter,3.2,RCB,2023,Overseas,No
440,Shahbaz Ahmed,All-Rounder,2.4,RCB,2023,Indian,Yes
441,David Willey,Bowler,2.0,RCB,2023,Overseas,Yes
442,Reece Topley,Bowler,1.9,RCB,2023,Overseas,No
443,Mahipal Lomror,All-Rounder,0.95,RCB,2023,Indian,Yes
444,Finn Allen,Batter,0.8,RCB,2023,Overseas,Yes
445,Siddarth Kaul,Bowler,0.75,RCB,2023,Indian,Yes
446,Rajan Kumar,Bowler,0.7,RCB,2023,Indian,No
447,Avinash Singh,Bowler,0.6,RCB,2023,Indian,No
448,Karn Sharma,Bowler,0.5,RCB,2023,Indian,Yes
449,Suyash Prabhudessai,Batter,0.3,RCB,2023,Indian,Yes
450,Sonu Yadav,All-Rounder,0.2,RCB,2023,Indian,No
451,Manoj Bhandage,All-Rounder,0.2,RCB,2023,Indian,No
452,Akash Deep,Bowler,0.2,RCB,2023,Indian,Yes
453,Himanshu Sharma,Bowler,0.2,RCB,2023,Indian,No
454,Rajat Patidar,Batter,0.2,RCB,2023,Indian,Yes
455,Harry Brook,Batter,13.25,SRH,2023,Overseas,No
456,Washington Sundar,All-Rounder,8.75,SRH,2023,Indian,Yes
457,Rahul Tripathi,Batter,8.5,SRH,2023,Indian,Yes
458,Mayank Agarwal,Batter,8.25,SRH,2023,Indian,No
459,Abhishek Sharma,All-Rounder,6.5,SRH,2023,Indian,Yes
460,Heinrich Klaasen,Wicket-Keeper,5.25,SRH,2023,Overseas,No
461,Bhuvneshwar Kumar,Bowler,4.2,SRH,2023,Indian,Yes
462,Marco Jansen,Bowler,4.2,SRH,2023,Overseas,Yes
463,Abdul Samad,Batter,4.0,SRH,2023,Indian,Yes
464,Umran Malik,Bowler,4.0,SRH,2023,Indian,Yes
465,T Natarajan,Bowler,4.0,SRH,2023,Indian,Yes
466,Kartik Tyagi,Bowler,4.0,SRH,2023,Indian,Yes
467,Aiden Markram,Batter,2.6,SRH,2023,Overseas,Yes
468,Vivrant Sharma,All-Rounder,2.6,SRH,2023,Indian,No
469,Adil Rashid,Bowler,2.0,SRH,2023,Overseas,No
470,Mayank Dagar,All-Rounder,1.8,SRH,2023,Indian,No
471,Glenn Phillips,Wicket-Keeper,1.5,SRH,2023,Overseas,Yes
472,Akeal Hosein,Bowler,1.0,SRH,2023,Overseas,No
473,Mayank Markande,Bowler,0.5,SRH,2023,Indian,No
474,Fazalhaq Farooqi,Bowler,0.5,SRH,2023,Overseas,Yes
475,Upendra Yadav,Wicket-Keeper,0.25,SRH,2023,Indian,No
476,Sanvir Singh,All-Rounder,0.2,SRH,2023,Indian,No
477,Samarth Vyas,All-Rounder,0.2,SRH,2023,Indian,No
478,Nitish Kumar Reddy,Wicket-Keeper,0.2,SRH,2023,Indian,No
479,Anmolpreet Singh,Batter,0.2,SRH,2023,Indian,No
480,Ravindra Jadeja,All-Rounder,16.0,CSK,2024,Indian,Yes
481,Daryl Mitchell,All-Rounder,14.0,CSK,2024,Overseas,No
482,Deepak Chahar,Bowler,14.0,CSK,2024,Indian,Yes
483,MS Dhoni,Wicket-Keeper,12.0,CSK,2024,Indian,Yes
484,Sameer Rizvi,Batter,8.4,CSK,2024,Indian,No
485,Ruturaj Gaikwad,Batter,8.0,CSK,2024,Indian,Yes
486,Moeen Ali,All-Rounder,6.0,CSK,2024,Overseas,Yes
487,Shivam Dube,All-Rounder,4.0,CSK,2024,Indian,Yes
488,Shardul Thakur,All-Rounder,4.0,CSK,2024,Indian,No
489,Mustafizur Rahman,Bowler,2.0,CSK,2024,Overseas,No
490,Mitchell Santner,All-Rounder,1.9,CSK,2024,Overseas,Yes
491,Rachin Ravindra,All-Rounder,1.8,CSK,2024,Overseas,No
492,Rajvardhan Hangargekar,Bowler,1.5,CSK,2024,Indian,Yes
493,Prashant Solanki,Bowler,1.2,CSK,2024,Indian,Yes
494,Devon Conway,Wicket-Keeper,1.0,CSK,2024,Overseas,Yes
495,Maheesh Theekshana,Bowler,0.7,CSK,2024,Overseas,Yes
496,Nishant Sindhu,All-Rounder,0.6,CSK,2024,Indian,Yes
497,Ajinkya Rahane,Batter,0.5,CSK,2024,Indian,Yes
498,Matheesha Pathirana,Bowler,0.2,CSK,2024,Overseas,Yes
499,Shaik Rasheed,Batter,0.2,CSK,2024,Indian,Yes
500,Ajay Mandal,All-Rounder,0.2,CSK,2024,Indian,Yes
501,Simarjeet Singh,Bowler,0.2,CSK,2024,Indian,Yes
502,Mukesh Choudhary,Bowler,0.2,CSK,2024,Indian,Yes
503,Tushar Deshpande,Bowler,0.2,CSK,2024,Indian,Yes
504,Aravelly Rao,Wicket-Keeper,0.2,CSK,2024,Indian,No
505,Rishabh Pant,Wicket-Keeper,16.0,DC,2024,Indian,Yes
506,Axar Patel,All-Rounder,12.0,DC,2024,Indian,Yes
507,Prithvi Shaw,Batter,8.0,DC,2024,Indian,Yes
508,Kumar Kushagra,Wicket-Keeper,7.2,DC,2024,Indian,No
509,Mitchell Marsh,All-Rounder,6.5,DC,2024,Overseas,Yes
510,Anrich Nortje,Bowler,6.5,DC,2024,Overseas,Yes
511,David Warner,Batter,6.25,DC,2024,Overseas,Yes
512,Mukesh Kumar,Bowler,5.5,DC,2024,Indian,Yes
513,Khaleel Ahmed,Bowler,5.25,DC,2024,Indian,Yes
514,Jhye Richardson,Bowler,5.0,DC,2024,Overseas,No
515,Harry Brook,Batter,4.0,DC,2024,Overseas,No
516,Kuldeep Yadav,Bowler,2.0,DC,2024,Indian,Yes
517,Sumit Kumar,All-Rounder,1.0,DC,2024,Indian,No
518,Shai Hope,Wicket-Keeper,0.75,DC,2024,Overseas,No
519,Lalit Yadav,All-Rounder,0.65,DC,2024,Indian,Yes
520,Ishant Sharma,Bowler,0.5,DC,2024,Indian,Yes
521,Lungi Ngidi,Bowler,0.5,DC,2024,Overseas,Yes
522,Pravin Dubey,Bowler,0.5,DC,2024,Indian,Yes
523,Yash Dhull,Batter,0.5,DC,2024,Indian,Yes
524,Tristan Stubbs,Wicket-Keeper,0.5,DC,2024,Overseas,No
525,Rasikh Dar,Bowler,0.2,DC,2024,Indian,No
526,Abishek Porel,Wicket-Keeper,0.2,DC,2024,Indian,Yes
527,Vicky Ostwal,Bowler,0.2,DC,2024,Indian,Yes
528,Ricky Bhui,Wicket-Keeper,0.2,DC,2024,Indian,No
529,Swastik Chikara,Batter,0.2,DC,2024,Indian,No
530,Rohit Sharma,Batter,16.0,MI,2024,Indian,Yes
531,Ishan Kishan,Wicket-Keeper,15.25,MI,2024,Indian,Yes
532,Hardik Pandya,All-Rounder,15.0,MI,2024,Indian,No
533,Jasprit Bumrah,Bowler,12.0,MI,2024,Indian,Yes
534,Tim David,Batter,8.25,MI,2024,Overseas,Yes
535,Suryakumar Yadav,Batter,8.0,MI,2024,Indian,Yes
536,Gerald Coetzee,All-Rounder,5.0,MI,2024,Overseas,No
537,Nuwan Thushara,Bowler,4.8,MI,2024,Overseas,No
538,Dilshan Madushanka,Bowler,4.6,MI,2024,Overseas,No
539,Dewald Brevis,All-Rounder,3.0,MI,2024,Overseas,Yes
540,Tilak Varma,Batter,1.7,MI,2024,Indian,Yes
541,Mohammad Nabi,All-Rounder,1.5,MI,2024,Overseas,No
542,Jason Behrendorff,Bowler,0.75,MI,2024,Overseas,Yes
543,Piyush Chawla,Bowler,0.5,MI,2024,Indian,Yes
544,Romario Shepherd,All-Rounder,0.5,MI,2024,Overseas,No
545,Arjun Tendulkar,Bowler,0.3,MI,2024,Indian,Yes
546,Shams Mulani,All-Rounder,0.2,MI,2024,Indian,Yes
547,Akash Madhwal,Bowler,0.2,MI,2024,Indian,Yes
548,Kumar Kartikeya,Bowler,0.2,MI,2024,Indian,Yes
549,Vishnu Vinod,Wicket-Keeper,0.2,MI,2024,Indian,Yes
550,Shivalik Sharma,All-Rounder,0.2,MI,2024,Indian,No
551,Naman Dhir,All-Rounder,0.2,MI,2024,Indian,No
552,Nehal Wadhera,All-Rounder,0.2,MI,2024,Indian,Yes
553,Anshul Kamboj,All-Rounder,0.2,MI,2024,Indian,No
554,Shreyas Gopal,Bowler,0.2,MI,2024,Indian,No
555,KL Rahul,Batter,17.0,LSG,2024,Indian,Yes
556,Nicholas Pooran,Wicket-Keeper,16.0,LSG,2024,Overseas,Yes
557,Marcus Stoinis,All-Rounder,10.0,LSG,2024,Overseas,Yes
558,Krunal Pandya,All-Rounder,8.25,LSG,2024,Indian,Yes
559,Devdutt Padikkal,Batter,7.75,LSG,2024,Indian,No
560,Mark Wood,Bowler,7.5,LSG,2024,Overseas,Yes
561,Quinton de Kock,Wicket-Keeper,6.75,LSG,2024,Overseas,Yes
562,Shivam Mavi,Bowler,6.4,LSG,2024,Indian,No
563,Deepak Hooda,All-Rounder,5.75,LSG,2024,Indian,Yes
564,Ravi Bishnoi,Bowler,4.0,LSG,2024,Indian,Yes
565,Manimaran Siddharth,Bowler,2.4,LSG,2024,Indian,No
566,David Willey,All-Rounder,2.0,LSG,2024,Overseas,No
567,Ashton Turner,Batter,1.0,LSG,2024,Overseas,No
568,Krishnappa Gowtham,All-Rounder,0.9,LSG,2024,Indian,Yes
569,Amit Mishra,Bowler,0.5,LSG,2024,Indian,Yes
570,Kyle Mayers,All-Rounder,0.5,LSG,2024,Overseas,Yes
571,Naveen-ul-Haq,Bowler,0.5,LSG,2024,Overseas,Yes
572,Yash Thakur,Bowler,0.45,LSG,2024,Indian,Yes
573,Mohsin Khan,Bowler,0.2,LSG,2024,Indian,Yes
574,Yudhvir Singh,All-Rounder,0.2,LSG,2024,Indian,Yes
575,Ayush Badoni,Batter,0.2,LSG,2024,Indian,Yes
576,Mayank Yadav,Bowler,0.2,LSG,2024,Indian,Yes
577,Arshad Khan,All-Rounder,0.2,LSG,2024,Indian,No
578,Prerak Mankad,All-Rounder,0.2,LSG,2024,Indian,Yes
579,Arshin Kulkarni,All-Rounder,0.2,LSG,2024,Indian,No
580,Rashid Khan,Bowler,15.0,GT,2024,Overseas,Yes
581,Spencer Johnson,Bowler,10.0,GT,2024,Overseas,No
582,Rahul Tewatia,All-Rounder,9.0,GT,2024,Indian,Yes
583,Shubman Gill,Batter,8.0,GT,2024,Indian,Yes
584,Shahrukh Khan,All-Rounder,7.4,GT,2024,Indian,No
585,Mohammed Shami,Bowler,6.25,GT,2024,Indian,Yes
586,Umesh Yadav,Bowler,5.8,GT,2024,Indian,No
587,Joshua Little,Bowler,4.4,GT,2024,Overseas,Yes
588,Robin Minz,Wicket-Keeper,3.6,GT,2024,Indian,No
589,Sai Kishore,Bowler,3.0,GT,2024,Indian,Yes
590,David Miller,Batter,3.0,GT,2024,Overseas,Yes
591,Abhinav Manohar,Batter,2.6,GT,2024,Indian,Yes
592,Matthew Wade,Wicket-Keeper,2.4,GT,2024,Overseas,Yes
593,Sushant Mishra,Bowler,2.2,GT,2024,Indian,No
594,Kane Williamson,Batter,2.0,GT,2024,Overseas,Yes
595,Wriddhiman Saha,Wicket-Keeper,1.9,GT,2024,Indian,Yes
596,Jayant Yadav,Bowler,1.7,GT,2024,Indian,Yes
597,Vijay Shankar,All-Rounder,1.4,GT,2024,Indian,Yes
598,Kartik Tyagi,Bowler,0.6,GT,2024,Indian,No
599,Mohit Sharma,Bowler,0.5,GT,2024,Indian,Yes
600,Azmatullah Omarzai,All-Rounder,0.5,GT,2024,Overseas,No
601,Noor Ahmad,Bowler,0.3,GT,2024,Overseas,Yes
602,Darshan Nalkande,Bowler,0.2,GT,2024,Indian,Yes
603,Manav Suthar,Bowler,0.2,GT,2024,Indian,No
604,Sai Sudharsan,Batter,0.2,GT,2024,Indian,Yes
605,Mitchell Starc,Bowler,24.75,KKR,2024,Overseas,No
606,Andre Russell,All-Rounder,16.0,KKR,2024,Overseas,Yes
607,Shreyas Iyer,Batter,12.25,KKR,2024,Indian,Yes
608,Varun Chakaravarthy,Bowler,12.0,KKR,2024,Indian,Yes
609,Nitish Rana,Batter,8.0,KKR,2024,Indian,Yes
610,Venkatesh Iyer,All-Rounder,8.0,KKR,2024,Indian,Yes
611,Sunil Narine,All-Rounder,6.0,KKR,2024,Overseas,Yes
612,Jason Roy,Batter,2.8,KKR,2024,Overseas,Yes
613,Mujeeb Ur Rahman,Bowler,2.0,KKR,2024,Overseas,No
614,Sherfane Rutherford,Batter,1.5,KKR,2024,Overseas,No
615,Gus Atkinson,Bowler,1.0,KKR,2024,Overseas,No
616,Vaibhav Arora,Bowler,0.6,KKR,2024,Indian,Yes
617,Rinku Singh,Batter,0.55,KKR,2024,Indian,Yes
618,Manish Pandey,Batter,0.5,KKR,2024,Indian,No
619,KS Bharat,Wicket-Keeper,0.5,KKR,2024,Indian,No
620,Chetan Sakariya,Bowler,0.5,KKR,2024,Indian,No
621,Rahmanullah Gurbaz,Wicket-Keeper,0.5,KKR,2024,Overseas,Yes
622,Angkrish Raghuvanshi,Batter,0.2,KKR,2024,Indian,No
623,Harshit Rana,Bowler,0.2,KKR,2024,Indian,Yes
624,Ramandeep Singh,All-Rounder,0.2,KKR,2024,Indian,No
625,Anukul Roy,All-Rounder,0.2,KKR,2024,Indian,Yes
626,Sakib Hussain,Bowler,0.2,KKR,2024,Indian,No
627,Suyash Sharma,Bowler,0.2,KKR,2024,Indian,Yes
628,Sam Curran,All-Rounder,18.5,PBKS,2024,Overseas,Yes
629,Harshal Patel,All-Rounder,11.75,PBKS,2024,Indian,No
630,Liam Livingstone,All-Rounder,11.5,PBKS,2024,Overseas,Yes
631,Kagiso Rabada,Bowler,9.25,PBKS,2024,Overseas,Yes
632,Shikhar Dhawan,Batter,8.25,PBKS,2024,Indian,Yes
633,Rilee Rossouw,Batter,8.0,PBKS,2024,Overseas,No
634,Jonny Bairstow,Wicket-Keeper,6.75,PBKS,2024,Overseas,Yes
635,Rahul Chahar,Bowler,5.25,PBKS,2024,Indian,Yes
636,Chris Woakes,All-Rounder,4.2,PBKS,2024,Overseas,No
637,Arshdeep Singh,Bowler,4.0,PBKS,2024,Indian,Yes
638,Harpreet Brar,Bowler,3.8,PBKS,2024,Indian,Yes
639,Nathan Ellis,Bowler,0.75,PBKS,2024,Overseas,Yes
640,Prabhsimran Singh,Wicket-Keeper,0.6,PBKS,2024,Indian,Yes
641,Rishi Dhawan,All-Rounder,0.55,PBKS,2024,Indian,Yes
642,Sikandar Raza,All-Rounder,0.5,PBKS,2024,Overseas,Yes
643,Harpreet Singh,Batter,0.4,PBKS,2024,Indian,Yes
644,Atharva Taide,Batter,0.2,PBKS,2024,Indian,Yes
645,Ashutosh Sharma,All-Rounder,0.2,PBKS,2024,Indian,No
646,Jitesh Sharma,Wicket-Keeper,0.2,PBKS,2024,Indian,Yes
647,Shashank Singh,All-Rounder,0.2,PBKS,2024,Indian,No
648,Prince Choudhary,Bowler,0.2,PBKS,2024,Indian,No
649,Shivam Singh,Batter,0.2,PBKS,2024,Indian,Yes
650,Vidwath Kaverappa,Bowler,0.2,PBKS,2024,Indian,Yes
651,Vishwapratap Singh,All-Rounder,0.2,PBKS,2024,Indian,No
652,Tanay Thyagarajan,All-Rounder,0.2,PBKS,2024,Indian,No
653,Sanju Samson,Wicket-Keeper,14.0,RR,2024,Indian,Yes
654,Jos Buttler,Wicket-Keeper,10.0,RR,2024,Overseas,Yes
655,Prasidh Krishna,Bowler,10.0,RR,2024,Indian,Yes
656,Avesh Khan,Bowler,10.0,RR,2024,Indian,No
657,Shimron Hetmyer,Batter,8.5,RR,2024,Overseas,Yes
658,Trent Boult,Bowler,8.0,RR,2024,Overseas,Yes
659,Rovman Powell,Batter,7.4,RR,2024,Overseas,No
660,Yuzvendra Chahal,Bowler,6.5,RR,2024,Indian,Yes
661,Shubham Dubey,Batter,5.8,RR,2024,Indian,No
662,Ravichandran Ashwin,All-Rounder,5.0,RR,2024,Indian,Yes
663,Yashasvi Jaiswal,Batter,4.0,RR,2024,Indian,Yes
664,Riyan Parag,All-Rounder,3.8,RR,2024,Indian,Yes
665,Navdeep Saini,Bowler,2.6,RR,2024,Indian,Yes
666,Adam Zampa,Bowler,1.5,RR,2024,Overseas,Yes
667,Sandeep Sharma,Bowler,0.5,RR,2024,Indian,Yes
668,Donovan Ferreira,Wicket-Keeper,0.5,RR,2024,Overseas,Yes
669,Nandre Burger,Bowler,0.5,RR,2024,Overseas,No
670,Tom Kohler-Cadmore,Wicket-Keeper,0.4,RR,2024,Overseas,No
671,Kuldeep Sen,Bowler,0.2,RR,2024,Indian,Yes
672,Dhruv Jurel,Wicket-Keeper,0.2,RR,2024,Indian,Yes
673,Abid Mushtaq,All-Rounder,0.2,RR,2024,Indian,No
674,Kunal Singh Rathore,Wicket-Keeper,0.2,RR,2024,Indian,Yes
675,Cameron Green,All-Rounder,17.5,RCB,2024,Overseas,No
676,Virat Kohli,Batter,15.0,RCB,2024,Indian,Yes
677,Alzarri Joseph,Bowler,11.5,RCB,2024,Overseas,No
678,Glenn Maxwell,All-Rounder,11.0,RCB,2024,Overseas,Yes
679,Mohammed Siraj,Bowler,7.0,RCB,2024,Indian,Yes
680,Faf du Plessis,Batter,7.0,RCB,2024,Overseas,Yes
681,Dinesh Karthik,Wicket-Keeper,5.5,RCB,2024,Indian,Yes
682,Yash Dayal,Bowler,5.0,RCB,2024,Indian,No
683,Anuj Rawat,Wicket-Keeper,3.4,RCB,2024,Indian,Yes
684,Will Jacks,Batter,3.2,RCB,2024,Overseas,Yes
685,Lockie Ferguson,Bowler,2.0,RCB,2024,Overseas,No
686,Reece Topley,Bowler,1.9,RCB,2024,Overseas,Yes
687,Mayank Dagar,All-Rounder,1.8,RCB,2024,Indian,No
688,Tom Curran,All-Rounder,1.5,RCB,2024,Overseas,No
689,Mahipal Lomror,All-Rounder,0.95,RCB,2024,Indian,Yes
690,Rajan Kumar,Bowler,0.7,RCB,2024,Indian,Yes
691,Karn Sharma,Bowler,0.5,RCB,2024,Indian,Yes
692,Suyash Prabhudessai,Batter,0.3,RCB,2024,Indian,Yes
693,Vyshak Vijay Kumar,Bowler,0.2,RCB,2024,Indian,Yes
694,Akash Deep,Bowler,0.2,RCB,2024,Indian,Yes
695,Manoj Bhandage,All-Rounder,0.2,RCB,2024,Indian,Yes
696,Rajat Patidar,Batter,0.2,RCB,2024,Indian,Yes
697,Himanshu Sharma,Bowler,0.2,RCB,2024,Indian,Yes
698,Swapnil Singh,All-Rounder,0.2,RCB,2024,Indian,No
699,Pat Cummins,All-Rounder,20.5,SRH,2024,Overseas,No
700,Washington Sundar,All-Rounder,8.75,SRH,2024,Indian,Yes
701,Rahul Tripathi,Batter,8.5,SRH,2024,Indian,Yes
702,Mayank Agarwal,Batter,8.25,SRH,2024,Indian,Yes
703,Travis Head,Batter,6.8,SRH,2024,Overseas,No
704,Abhishek Sharma,All-Rounder,6.5,SRH,2024,Indian,Yes
705,Heinrich Klaasen,Wicket-Keeper,5.25,SRH,2024,Overseas,Yes
706,Marco Jansen,All-Rounder,4.2,SRH,2024,Overseas,Yes
707,Bhuvneshwar Kumar,Bowler,4.2,SRH,2024,Indian,Yes
708,Abdul Samad,Batter,4.0,SRH,2024,Indian,Yes
709,Umran Malik,Bowler,4.0,SRH,2024,Indian,Yes
710,T Natarajan,Bowler,4.0,SRH,2024,Indian,Yes
711,Aiden Markram,All-Rounder,2.6,SRH,2024,Overseas,Yes
712,Shahbaz Ahmed,All-Rounder,2.4,SRH,2024,Indian,No
713,Jaydev Unadkat,Bowler,1.6,SRH,2024,Indian,No
714,Wanindu Hasaranga,All-Rounder,1.5,SRH,2024,Overseas,No
715,Glenn Phillips,All-Rounder,1.5,SRH,2024,Overseas,Yes
716,Mayank Markande,Bowler,0.5,SRH,2024,Indian,Yes
717,Fazalhaq Farooqi,Bowler,0.5,SRH,2024,Overseas,Yes
718,Upendra Yadav,Wicket-Keeper,0.25,SRH,2024,Indian,Yes
719,Jhatavedh Subramanyan,Bowler,0.2,SRH,2024,Indian,No
720,Akash Singh,Bowler,0.2,SRH,2024,Indian,No
721,Nitish Kumar Reddy,Batter,0.2,SRH,2024,Indian,Yes
722,Sanvir Singh,All-Rounder,0.2,SRH,2024,Indian,Yes
723,Anmolpreet Singh,Batter,0.2,SRH,2024,Indian,Yes
724,Ravindra Jadeja,All-Rounder,18.0,CSK,2025,Indian,Yes
725,Ruturaj Gaikwad,Batter,18.0,CSK,2025,Indian,Yes
726,Matheesha Pathirana,Bowler,13.0,CSK,2025,Overseas,Yes
727,Shivam Dube,All-Rounder,12.0,CSK,2025,Indian,Yes
728,Noor Ahmad,Bowler,10.0,CSK,2025,Overseas,No
729,Ravichandran Ashwin,All-Rounder,9.75,CSK,2025,Indian,No
730,Devon Conway,Batter,6.25,CSK,2025,Overseas,No
731,Khaleel Ahmed,Bowler,4.8,CSK,2025,Indian,No
732,MS Dhoni,Wicket-Keeper,4.0,CSK,2025,Indian,Yes
733,Rachin Ravindra,All-Rounder,4.0,CSK,2025,Overseas,No
734,Rahul Tripathi,Batter,3.4,CSK,2025,Indian,No
735,Anshul Kamboj,All-Rounder,3.4,CSK,2025,Indian,No
736,Sam Curran,All-Rounder,2.4,CSK,2025,Overseas,No
737,Gurjapneet Singh,Bowler,2.2,CSK,2025,Indian,No
738,Nathan Ellis,Bowler,2.0,CSK,2025,Overseas,No
739,Deepak Hooda,All-Rounder,1.7,CSK,2025,Indian,No
740,Jamie Overton,All-Rounder,1.5,CSK,2025,Overseas,No
741,Vijay Shankar,All-Rounder,1.2,CSK,2025,Indian,No
742,Vansh Bedi,Wicket-Keeper,0.55,CSK,2025,Indian,No
743,Mukesh Choudhary,Bowler,0.3,CSK,2025,Indian,No
744,Shaik Rasheed,Batter,0.3,CSK,2025,Indian,No
745,Andre Siddharth,Batter,0.3,CSK,2025,Indian,No
746,Ramakrishna Ghosh,All-Rounder,0.3,CSK,2025,Indian,No
747,Kamlesh Nagarkoti,All-Rounder,0.3,CSK,2025,Indian,No
748,Shreyas Gopal,Bowler,0.3,CSK,2025,Indian,No
749,Axar Patel,All-Rounder,16.5,DC,2025,Indian,Yes
750,KL Rahul,Wicket-Keeper,14.0,DC,2025,Indian,No
751,Kuldeep Yadav,Bowler,13.25,DC,2025,Indian,Yes
752,Mitchell Starc,Bowler,11.75,DC,2025,Overseas,No
753,T Natarajan,Bowler,10.75,DC,2025,Indian,No
754,Tristan Stubbs,Wicket-Keeper,10.0,DC,2025,Overseas,Yes
755,Jake Fraser-McGurk,Batter,9.0,DC,2025,Overseas,No
756,Mukesh Kumar,Bowler,8.0,DC,2025,Indian,No
757,Harry Brook,Batter,6.25,DC,2025,Overseas,No
758,Abishek Porel,Wicket-Keeper,4.0,DC,2025,Indian,Yes
759,Ashutosh Sharma,All-Rounder,3.8,DC,2025,Indian,No
760,Mohit Sharma,Bowler,2.2,DC,2025,Indian,No
761,Faf du Plessis,Batter,2.0,DC,2025,Overseas,No
762,Sameer Rizvi,All-Rounder,0.95,DC,2025,Indian,No
763,Dushmantha Chameera,Bowler,0.75,DC,2025,Overseas,No
764,Donovan Ferreira,Wicket-Keeper,0.75,DC,2025,Overseas,No
765,Vipraj Nigam,All-Rounder,0.5,DC,2025,Indian,No
766,Karun Nair,Batter,0.5,DC,2025,Indian,No
767,Madhav Tiwari,All-Rounder,0.4,DC,2025,Indian,No
768,Ajay Mandal,All-Rounder,0.3,DC,2025,Indian,No
769,Tripurana Vijay,All-Rounder,0.3,DC,2025,Indian,No
770,Manvanth Kumar L,All-Rounder,0.3,DC,2025,Indian,No
771,Darshan Nalkande,All-Rounder,0.3,DC,2025,Indian,No
772,Jasprit Bumrah,Bowler,18.0,MI,2025,Indian,Yes
773,Hardik Pandya,All-Rounder,16.35,MI,2025,Indian,Yes
774,Suryakumar Yadav,Batter,16.35,MI,2025,Indian,Yes
775,Rohit Sharma,Batter,16.3,MI,2025,Indian,Yes
776,Trent Boult,Bowler,12.5,MI,2025,Overseas,No
777,Deepak Chahar,Bowler,9.25,MI,2025,Indian,No
778,Tilak Varma,Batter,8.0,MI,2025,Indian,Yes
779,Naman Dhir,All-Rounder,5.25,MI,2025,Indian,No
780,Will Jacks,All-Rounder,5.25,MI,2025,Overseas,No
781,AM Ghazanfar,Bowler,4.8,MI,2025,Overseas,No
782,Mitchell Santner,All-Rounder,2.0,MI,2025,Overseas,No
783,Ryan Rickelton,Wicket-Keeper,1.0,MI,2025,Overseas,No
784,Lizaad Williams,Bowler,0.75,MI,2025,Overseas,No
785,Reece Topley,Bowler,0.75,MI,2025,Overseas,No
