,Player,Role,Price,Team,Year,Origin,Retained
91,Ayush Badoni,All-Rounder,0.2,LSG,2022,Indian,No
92,Karan Sharma,All-Rounder,0.2,LSG,2022,Indian,No
93,Mayank Yadav,Bowler,0.2,LSG,2022,Indian,No
94,Manan Vohra,Batsman,0.2,LSG,2022,Indian,No
95,Rashid Khan,Bowler,15.0,GT,2022,Overseas,Yes
96,Hardik Pandya,All-Rounder,15.0,GT,2022,Indian,Yes
97,Lockie Ferguson,Bowler,10.0,GT,2022,Overseas,No
98,Rahul Tewatia,All-Rounder,9.0,GT,2022,Indian,No
99,Shubman Gill,Batsman,8.0,GT,2022,Indian,Yes
100,Mohammed Shami,Bowler,6.25,GT,2022,Indian,No
101,Yash Dayal,Bowler,3.2,GT,2022,Indian,No
102,Ravisrinivasan Sai Kishore,Bowler,3.0,GT,2022,Indian,No
103,David Miller,Batsman,3.0,GT,2022,Overseas,No
104,Abhinav Manohar,Batsman,2.6,GT,2022,Indian,No
105,Alzarri Joseph,Bowler,2.4,GT,2022,Overseas,No
106,Matthew Wade,Wicket-Keeper,2.4,GT,2022,Overseas,No
107,Jason Roy,Batsman,2.0,GT,2022,Overseas,No
108,Wriddhiman Saha,Wicket-Keeper,1.9,GT,2022,Indian,No
109,Jayant Yadav,All-Rounder,1.7,GT,2022,Indian,No
110,Vijay Shankar,All-Rounder,1.4,GT,2022,Indian,No
111,Dominic Drakes,All-Rounder,1.1,GT,2022,Overseas,No
112,Varun Aaron,Bowler,0.5,GT,2022,Indian,No
113,Gurkeerat Singh Mann,All-Rounder,0.5,GT,2022,Indian,No
114,Noor Ahmad,Bowler,0.3,GT,2022,Overseas,No
115,Darshan Nalkande,All-Rounder,0.2,GT,2022,Indian,No
116,Sai Sudharsan,All-Rounder,0.2,GT,2022,Indian,No
117,Pradeep Sangwan,All-Rounder,0.2,GT,2022,Indian,No
118,Shreyas Iyer,Batsman,12.25,KKR,2022,Indian,No
119,Andre Russell,All-Rounder,12.0,KKR,2022,Overseas,Yes
120,Nitish Rana,All-Rounder,8.0,KKR,2022,Indian,No
121,Varun Chakravarthy,Bowler,8.0,KKR,2022,Indian,Yes
122,Venkatesh Iyer,All-Rounder,8.0,KKR,2022,Indian,Yes
123,Shivam Mavi,All-Rounder,7.25,KKR,2022,Indian,No
124,Pat Cummins,All-Rounder,7.25,KKR,2022,Overseas,No
125,Sunil Narine,All-Rounder,6.0,KKR,2022,Overseas,Yes
126,Umesh Yadav,Bowler,2.0,KKR,2022,Indian,No
127,Sam Billings,Wicket-Keeper,2.0,KKR,2022,Overseas,No
128,Tim Southee,Bowler,1.5,KKR,2022,Overseas,No
129,Alex Hales,Batsman,1.5,KKR,2022,Overseas,No
130,Mohammad Nabi,All-Rounder,1.0,KKR,2022,Overseas,No
131,Ajinkya Rahane,Batsman,1.0,KKR,2022,Indian,No
132,Sheldon Jackson,Wicket-Keeper,0.6,KKR,2022,Indian,No
133,Rinku Singh,Batsman,0.55,KKR,2022,Indian,No
134,Ashok Sharma,Bowler,0.55,KKR,2022,Indian,No
135,Chamika Karunaratne,All-Rounder,0.5,KKR,2022,Overseas,No
136,Abhijeet Tomar,Batsman,0.4,KKR,2022,Indian,No
137,Anukul Roy,All-Rounder,0.2,KKR,2022,Indian,No
138,Pratham Singh,Batsman,0.2,KKR,2022,Indian,No
139,Rasikh Dar,Bowler,0.2,KKR,2022,Indian,No
140,Ramesh Kumar,Batsman,0.2,KKR,2022,Indian,No
141,Aman Khan,All-Rounder,0.2,KKR,2022,Indian,No
142,Baba Indrajith,Wicket-Keeper,0.2,KKR,2022,Indian,No
143,Mayank Agarwal,Batsman,12.0,PBKS,2022,Indian,Yes
144,Liam Livingstone,All-Rounder,11.5,PBKS,2022,Overseas,No
145,Kagiso Rabada,Bowler,9.25,PBKS,2022,Overseas,No
146,Shahrukh Khan,All-Rounder,9.0,PBKS,2022,Indian,No
147,Shikhar Dhawan,Batsman,8.25,PBKS,2022,Indian,No
148,Jonny Bairstow,Wicket-Keeper,6.75,PBKS,2022,Overseas,No
149,Odean Smith,All-Rounder,6.0,PBKS,2022,Overseas,No
