,Player,Role,Price,Team,Year,Origin,Retained,C/U/A
79,Jason Holder,All-Rounder,8.75,LSG,2022,Overseas,No,Capped
80,Krunal Pandya,All-Rounder,8.25,LSG,2022,Indian,No,Capped
81,Mark Wood,Bowler,7.5,LSG,2022,Overseas,No,Capped
82,Quinton de Kock,Wicket-Keeper,6.75,LSG,2022,Overseas,No,Capped
83,Deepak Hooda,All-Rounder,5.75,LSG,2022,Indian,No,Uncapped
84,Manish Pandey,Batsman,4.6,LSG,2022,Indian,No,Capped
85,Ravi Bishnoi,Bowler,4.0,LSG,2022,Indian,Yes,Uncapped
86,Evin Lewis,Batsman,2.0,LSG,2022,Overseas,No,Capped
87,Dushmantha Chameera,Bowler,2.0,LSG,2022,Overseas,No,Capped
88,Krishnappa Gowtham,All-Rounder,0.9,LSG,2022,Indian,No,Capped
89,Kyle Mayers,All-Rounder,0.5,LSG,2022,Overseas,No,Capped
90,Shahbaz Nadeem,Bowler,0.5,LSG,2022,Indian,No,Capped
91,Ankit Rajpoot,Bowler,0.5,LSG,2022,Indian,No,Uncapped
92,Mohsin Khan,Bowler,0.2,LSG,2022,Indian,No,Uncapped
93,Ayush Badoni,All-Rounder,0.2,LSG,2022,Indian,No,Uncapped
94,Karan Sharma,All-Rounder,0.2,LSG,2022,Indian,No,Uncapped
95,Mayank Yadav,Bowler,0.2,LSG,2022,Indian,No,Uncapped
96,Manan Vohra,Batsman,0.2,LSG,2022,Indian,No,Uncapped
97,Rashid Khan,Bowler,15.0,GT,2022,Overseas,Yes,Capped
98,Hardik Pandya,All-Rounder,15.0,GT,2022,Indian,Yes,Capped
99,Lockie Ferguson,Bowler,10.0,GT,2022,Overseas,No,Capped
100,Rahul Tewatia,All-Rounder,9.0,GT,2022,Indian,No,Uncapped
101,Shubman Gill,Batsman,8.0,GT,2022,Indian,Yes,Capped
102,Mohammed Shami,Bowler,6.25,GT,2022,Indian,No,Capped
103,Yash Dayal,Bowler,3.2,GT,2022,Indian,No,Uncapped
104,Ravisrinivasan Sai Kishore,Bowler,3.0,GT,2022,Indian,No,Uncapped
105,David Miller,Batsman,3.0,GT,2022,Overseas,No,Capped
106,Abhinav Manohar,Batsman,2.6,GT,2022,Indian,No,Uncapped
107,Alzarri Joseph,Bowler,2.4,GT,2022,Overseas,No,Capped
108,Matthew Wade,Wicket-Keeper,2.4,GT,2022,Overseas,No,Capped
109,Jason Roy,Batsman,2.0,GT,2022,Overseas,No,Capped
110,Wriddhiman Saha,Wicket-Keeper,1.9,GT,2022,Indian,No,Capped
111,Jayant Yadav,All-Rounder,1.7,GT,2022,Indian,No,Capped
112,Vijay Shankar,All-Rounder,1.4,GT,2022,Indian,No,Capped
113,Dominic Drakes,All-Rounder,1.1,GT,2022,Overseas,No,Capped
114,Varun Aaron,Bowler,0.5,GT,2022,Indian,No,Capped
115,Gurkeerat Singh Mann,All-Rounder,0.5,GT,2022,Indian,No,Capped
116,Noor Ahmad,Bowler,0.3,GT,2022,Overseas,No,Uncapped
117,Darshan Nalkande,All-Rounder,0.2,GT,2022,Indian,No,Uncapped
118,Sai Sudharsan,All-Rounder,0.2,GT,2022,Indian,No,Uncapped
119,Pradeep Sangwan,All-Rounder,0.2,GT,2022,Indian,No,Uncapped
120,Shreyas Iyer,Batsman,12.25,KKR,2022,Indian,No,Capped
121,Andre Russell,All-Rounder,12.0,KKR,2022,Overseas,Yes,Capped
122,Nitish Rana,All-Rounder,8.0,KKR,2022,Indian,No,Capped
123,Varun Chakravarthy,Bowler,8.0,KKR,2022,Indian,Yes,Capped
124,Venkatesh Iyer,All-Rounder,8.0,KKR,2022,Indian,Yes,Capped
125,Shivam Mavi,All-Rounder,7.25,KKR,2022,Indian,No,Uncapped
126,Pat Cummins,All-Rounder,7.25,KKR,2022,Overseas,No,Capped
127,Sunil Narine,All-Rounder,6.0,KKR,2022,Overseas,Yes,Capped
128,Umesh Yadav,Bowler,2.0,KKR,2022,Indian,No,Capped
129,Sam Billings,Wicket-Keeper,2.0,KKR,2022,Overseas,No,Capped
130,Tim Southee,Bowler,1.5,KKR,2022,Overseas,No,Capped
131,Alex Hales,Batsman,1.5,KKR,2022,Overseas,No,Capped
132,Mohammad Nabi,All-Rounder,1.0,KKR,2022,Overseas,No,Capped
133,Ajinkya Rahane,Batsman,1.0,KKR,2022,Indian,No,Capped
134,Sheldon Jackson,Wicket-Keeper,0.6,KKR,2022,Indian,No,Uncapped
135,Rinku Singh,Batsman,0.55,KKR,2022,Indian,No,Uncapped
136,Ashok Sharma,Bowler,0.55,KKR,2022,Indian,No,Uncapped
137,Chamika Karunaratne,All-Rounder,0.5,KKR,2022,Overseas,No,Capped
138,Abhijeet Tomar,Batsman,0.4,KKR,2022,Indian,No,Uncapped
139,Anukul Roy,All-Rounder,0.2,KKR,2022,Indian,No,Uncapped
140,Pratham Singh,Batsman,0.2,KKR,2022,Indian,No,Uncapped
141,Rasikh Dar,Bowler,0.2,KKR,2022,Indian,No,Uncapped
142,Ramesh Kumar,Batsman,0.2,KKR,2022,Indian,No,Uncapped
143,Aman Khan,All-Rounder,0.2,KKR,2022,Indian,No,Uncapped
144,Baba Indrajith,Wicket-Keeper,0.2,KKR,2022,Indian,No,Uncapped
145,Mayank Agarwal,Batsman,12.0,PBKS,2022,Indian,Yes,Capped
146,Liam Livingstone,All-Rounder,11.5,PBKS,2022,Overseas,No,Capped
147,Kagiso Rabada,Bowler,9.25,PBKS,2022,Overseas,No,Capped
148,Shahrukh Khan,All-Rounder,9.0,PBKS,2022,Indian,No,Uncapped
149,Shikhar Dhawan,Batsman,8.25,PBKS,2022,Indian,No,Capped
150,Jonny Bairstow,Wicket-Keeper,6.75,PBKS,2022,Overseas,No,Capped
151,Odean Smith,All-Rounder,6.0,PBKS,2022,Overseas,No,Capped
152,Rahul Chahar,Bowler,5.25,PBKS,2022,Indian,No,Capped
153,Arshdeep Singh,Bowler,4.0,PBKS,2022,Indian,Yes,Uncapped
154,Harpreet Brar,All-Rounder,3.8,PBKS,2022,Indian,No,Uncapped
155,Vaibhav Arora,Bowler,2.0,PBKS,2022,Indian,No,Uncapped
156,Raj Bawa,All-Rounder,2.0,PBKS,2022,Indian,No,Uncapped
157,Nathan Ellis,Bowler,0.75,PBKS,2022,Overseas,No,Capped
158,Prabhsimran Singh,Wicket-Keeper,0.6,PBKS,2022,Indian,No,Uncapped
159,Rishi Dhawan,All-Rounder,0.55,PBKS,2022,Indian,No,Capped
160,Bhanuka Rajapaksa,Batsman,0.5,PBKS,2022,Overseas,No,Capped
161,Sandeep Sharma,Bowler,0.5,PBKS,2022,Indian,No,Capped
162,Benny Howell,All-Rounder,0.4,PBKS,2022,Overseas,No,Uncapped
163,Ishan Porel,Bowler,0.25,PBKS,2022,Indian,No,Uncapped
164,Prerak Mankad,All-Rounder,0.2,PBKS,2022,Indian,No,Uncapped
165,Atharva Taide,All-Rounder,0.2,PBKS,2022,Indian,No,Uncapped
166,Ansh Patel,All-Rounder,0.2,PBKS,2022,Indian,No,Uncapped
167,Jitesh Sharma,Wicket-Keeper,0.2,PBKS,2022,Indian,No,Uncapped
168,Writtick Chatterjee,All-Rounder,0.2,PBKS,2022,Indian,No,Uncapped
169,Baltej Singh,Bowler,0.2,PBKS,2022,Indian,No,Uncapped
170,Sanju Samson,Wicket-Keeper,14.0,RR,2022,Indian,Yes,Capped
