,Player,Role,Price,Team,Year,Origin,Retained,C/U/A
66,Basil Thampi,Bowler,0.3,MI,2022,Indian,No,Uncapped
67,Arjun Tendulkar,All-Rounder,0.3,MI,2022,Indian,No,Uncapped
68,Ramandeep Singh,All-Rounder,0.2,MI,2022,Indian,No,Uncapped
69,Anmolpreet Singh,Batsman,0.2,MI,2022,Indian,No,Uncapped
70,Aryan Juyal,Wicket-Keeper,0.2,MI,2022,Indian,No,Uncapped
71,Arshad Khan,All-Rounder,0.2,MI,2022,Indian,No,Uncapped
72,Rahul Buddhi,Batsman,0.2,MI,2022,Indian,No,Uncapped
73,Hrithik Shokeen,All-Rounder,0.2,MI,2022,Indian,No,Uncapped
74,KL Rahul,Wicket-keeper,17.0,LSG,2022,Indian,Yes,Capped
75,Avesh Khan,Bowler,10.0,LSG,2022,Indian,No,Uncapped
76,Marcus Stoinis,All-Rounder,9.2,LSG,2022,Overseas,Yes,Capped
77,Jason Holder,All-Rounder,8.75,LSG,2022,Overseas,No,Capped
78,Krunal Pandya,All-Rounder,8.25,LSG,2022,Indian,No,Capped
79,Mark Wood,Bowler,7.5,LSG,2022,Overseas,No,Capped
80,Quinton de Kock,Wicket-Keeper,6.75,LSG,2022,Overseas,No,Capped
81,Deepak Hooda,All-Rounder,5.75,LSG,2022,Indian,No,Uncapped
82,Manish Pandey,Batsman,4.6,LSG,2022,Indian,No,Capped
83,Ravi Bishnoi,Bowler,4.0,LSG,2022,Indian,Yes,Uncapped
84,Evin Lewis,Batsman,2.0,LSG,2022,Overseas,No,Capped
85,Dushmantha Chameera,Bowler,2.0,LSG,2022,Overseas,No,Capped
86,Krishnappa Gowtham,All-Rounder,0.9,LSG,2022,Indian,No,Capped
87,Kyle Mayers,All-Rounder,0.5,LSG,2022,Overseas,No,Capped
88,Shahbaz Nadeem,Bowler,0.5,LSG,2022,Indian,No,Capped
89,Ankit Rajpoot,Bowler,0.5,LSG,2022,Indian,No,Uncapped
90,Mohsin Khan,Bowler,0.2,LSG,2022,Indian,No,Uncapped
91,Ayush Badoni,All-Rounder,0.2,LSG,2022,Indian,No,Uncapped
92,Karan Sharma,All-Rounder,0.2,LSG,2022,Indian,No,Uncapped
93,Mayank Yadav,Bowler,0.2,LSG,2022,Indian,No,Uncapped
94,Manan Vohra,Batsman,0.2,LSG,2022,Indian,No,Uncapped
95,Rashid Khan,Bowler,15.0,GT,2022,Overseas,Yes,Capped
96,Hardik Pandya,All-Rounder,15.0,GT,2022,Indian,Yes,Capped
97,Lockie Ferguson,Bowler,10.0,GT,2022,Overseas,No,Capped
98,Rahul Tewatia,All-Rounder,9.0,GT,2022,Indian,No,Uncapped
99,Shubman Gill,Batsman,8.0,GT,2022,Indian,Yes,Capped
100,Mohammed Shami,Bowler,6.25,GT,2022,Indian,No,Capped
101,Yash Dayal,Bowler,3.2,GT,2022,Indian,No,Uncapped
102,Ravisrinivasan Sai Kishore,Bowler,3.0,GT,2022,Indian,No,Uncapped
103,David Miller,Batsman,3.0,GT,2022,Overseas,No,Capped
104,Abhinav Manohar,Batsman,2.6,GT,2022,Indian,No,Uncapped
105,Alzarri Joseph,Bowler,2.4,GT,2022,Overseas,No,Capped
106,Matthew Wade,Wicket-Keeper,2.4,GT,2022,Overseas,No,Capped
107,Jason Roy,Batsman,2.0,GT,2022,Overseas,No,Capped
108,Wriddhiman Saha,Wicket-Keeper,1.9,GT,2022,Indian,No,Capped
109,Jayant Yadav,All-Rounder,1.7,GT,2022,Indian,No,Capped
110,Vijay Shankar,All-Rounder,1.4,GT,2022,Indian,No,Capped
111,Dominic Drakes,All-Rounder,1.1,GT,2022,Overseas,No,Capped
112,Varun Aaron,Bowler,0.5,GT,2022,Indian,No,Capped
113,Gurkeerat Singh Mann,All-Rounder,0.5,GT,2022,Indian,No,Capped
114,Noor Ahmad,Bowler,0.3,GT,2022,Overseas,No,Uncapped
115,Darshan Nalkande,All-Rounder,0.2,GT,2022,Indian,No,Uncapped
116,Sai Sudharsan,All-Rounder,0.2,GT,2022,Indian,No,Uncapped
117,Pradeep Sangwan,All-Rounder,0.2,GT,2022,Indian,No,Uncapped
118,Shreyas Iyer,Batsman,12.25,KKR,2022,Indian,No,Capped
119,Andre Russell,All-Rounder,12.0,KKR,2022,Overseas,Yes,Capped
120,Nitish Rana,All-Rounder,8.0,KKR,2022,Indian,No,Capped
121,Varun Chakravarthy,Bowler,8.0,KKR,2022,Indian,Yes,Capped
122,Venkatesh Iyer,All-Rounder,8.0,KKR,2022,Indian,Yes,Capped
123,Shivam Mavi,All-Rounder,7.25,KKR,2022,Indian,No,Uncapped
124,Pat Cummins,All-Rounder,7.25,KKR,2022,Overseas,No,Capped
125,Sunil Narine,All-Rounder,6.0,KKR,2022,Overseas,Yes,Capped
126,Umesh Yadav,Bowler,2.0,KKR,2022,Indian,No,Capped
127,Sam Billings,Wicket-Keeper,2.0,KKR,2022,Overseas,No,Capped
128,Tim Southee,Bowler,1.5,KKR,2022,Overseas,No,Capped
129,Alex Hales,Batsman,1.5,KKR,2022,Overseas,No,Capped
130,Mohammad Nabi,All-Rounder,1.0,KKR,2022,Overseas,No,Capped
131,Ajinkya Rahane,Batsman,1.0,KKR,2022,Indian,No,Capped
132,Sheldon Jackson,Wicket-Keeper,0.6,KKR,2022,Indian,No,Uncapped
133,Rinku Singh,Batsman,0.55,KKR,2022,Indian,No,Uncapped
134,Ashok Sharma,Bowler,0.55,KKR,2022,Indian,No,Uncapped
135,Chamika Karunaratne,All-Rounder,0.5,KKR,2022,Overseas,No,Capped
136,Abhijeet Tomar,Batsman,0.4,KKR,2022,Indian,No,Uncapped
137,Anukul Roy,All-Rounder,0.2,KKR,2022,Indian,No,Uncapped
138,Pratham Singh,Batsman,0.2,KKR,2022,Indian,No,Uncapped
139,Rasikh Dar,Bowler,0.2,KKR,2022,Indian,No,Uncapped
140,Ramesh Kumar,Batsman,0.2,KKR,2022,Indian,No,Uncapped
141,Aman Khan,All-Rounder,0.2,KKR,2022,Indian,No,Uncapped
