Player Name,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
Ravindra Jadeja,India,33,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Deepak Chahar,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
MS Dhoni,India,40,Wicketkeeper,RHB,-,Capped,
Moeen Ali,England,34,All-rounder,LHB,RIGHT ARM Off Spin,Capped,
Ambati Rayudu,India,36,WICKETKEEPER,RHB,-,Capped,200
Ruturaj Gaikwad,India,25,Batsman,RHB,-,Capped,
Dwayne Bravo,West Indies,38,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
Shivam Dube,India,28,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Capped,50
Chris Jordan,England,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
Robin Uthappa,India,36,BATSMAN,RHB,-,Capped,200
Mitchell Santner,New Zealand,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,100
Adam Milne,New Zealand,29,BOWLER,RHB,RIGHT ARM Fast,Capped,150
Rajvardhan Hangargekar,India,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
Prashant Solanki,India,22,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,20
Devon Conway,New Zealand,30,BATSMAN,LHB,RIGHT ARM Medium,Capped,100
Maheesh Theekshana,Sri Lanka,21,BOWLER,RHB,RIGHT ARM Off Spin,Capped,50
Dwaine Pretorius,South Africa,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,50
Narayan Jagadeesan,India,26,WICKETKEEPER,RHB,-,Uncapped,20
KM Asif,India,28,BOWLER,RHB,RIGHT ARM Fast,Uncapped,20
Tushar Deshpande,India,26,BOWLER,LHB,RIGHT ARM Fast,Uncapped,20
Subhranshu Senapati,India,25,BATSMAN,RHB,RIGHT ARM Fast Medium,Uncapped,20
Bhagath Varma,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,20
Simarjeet Singh,India,24,BOWLER,RHB,RIGHT ARM Fast,Uncapped,20
Hari Nishaanth,India,25,BATSMAN,LHB,RIGHT ARM Off Spin,Uncapped,20
Mukesh Choudhary,India,25,BOWLER,LHB,LEFT ARM Fast,Uncapped,20
Rishabh Pant,India,24,Wicketkeeper,LHB,-,Capped,
Shardul Thakur,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
Axar Patel,India,28,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Prithvi Shaw,India,22,Batsman,RHB,-,Capped,
Mitchell Marsh,Australia,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
Anrich Nortje,South Africa,28,Bowler,RHB,RIGHT ARM Fast,Capped,
David Warner,Australia,35,BATSMAN,LHB,-,Capped,200
Khaleel Ahmed,India,24,BOWLER,RHB,LEFT ARM Fast,Capped,50
