Player Name,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
Ravindra Jadeja,India,35,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Ruturaj Gaikwad,India,27,Batsman,RHB,-,Capped,
Matheesha Pathirana,Sri Lanka,21,Bowler,RHB,RIGHT ARM Fast,Capped,
Shivam Dube,India,31,All-rounder,LHB,RIGHT ARM Medium,Capped,
Noor Ahmad,Afghanistan,20,BOWLER,RHB,LEFT ARM Slow Unorthodox,Capped,200
Ravichandran Ashwin,India,38,All-rounder,RHB,RIGHT ARM Off Spin,Capped,200
Devon Conway,New Zealand,33,BATTER,LHB,-,Capped,200
Khaleel Ahmed,India,27,BOWLER,RHB,LEFT ARM Fast Medium,Capped,200
MS Dhoni,India,43,Wicketkeeper,RHB,-,Capped,
Rachin Ravindra,New Zealand,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,150
Rahul Tripathi,India,34,BATTER,RHB,RIGHT ARM Medium,Capped,75
Anshul Kamboj,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
Sam Curran,England,26,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,Capped,200
Gurjapneet Singh,India,26,BOWLER,RHB,LEFT ARM Fast Medium,Uncapped,30
Nathan Ellis,Australia,30,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,125
Deepak Hooda,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,75
Jamie Overton,England,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,150
Vijay Shankar,India,34,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,30
Vansh Bedi,India,22,WICKETKEEPER,RHB,-,Uncapped,30
Mukesh Choudhary,India,28,BOWLER,LHB,LEFT ARM Fast,Uncapped,30
Shaik Rasheed,India,20,BATTER,RHB,RIGHT ARM Leg Spin,Uncapped,30
Andre Siddharth,India,18,BATTER,RHB,-,Uncapped,50
Ramakrishna Ghosh,India,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
Kamlesh Nagarkoti,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
Shreyas Gopal,India,31,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
Axar Patel,India,30,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
KL Rahul,India,32,WICKETKEEPER,RHB,-,Capped,200
Kuldeep Yadav,India,29,Bowler,LHB,LEFT ARM Slow Unorthodox,Capped,
Mitchell Starc,Australia,35,BOWLER,LHB,LEFT ARM Fast,Capped,200
T Natarajan,India,33,BOWLER,LHB,LEFT ARM Fast Medium,Capped,200
Tristan Stubbs,South Africa,24,Wicketkeeper,RHB,RIGHT ARM Off Spin,Capped,
Jake Fraser-McGurk,Australia,22,BATTER,RHB,-,Capped,200
Mukesh Kumar,India,31,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
Harry Brook,England,26,BATTER,RHB,RIGHT ARM Medium,Capped,200
Abishek Porel,India,22,Wicketkeeper,LHB,-,Uncapped,
Ashutosh Sharma,India,26,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,30
Mohit Sharma,India,36,BOWLER,RHB,RIGHT ARM Fast,Uncapped,50
Faf du Plessis,South Africa,40,BATTER,RHB,-,Capped,200
Sameer Rizvi,India,21,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
Dushmantha Chameera,Sri Lanka,33,BOWLER,RHB,RIGHT ARM Fast,Capped,75
Donovan Ferreira,South Africa,26,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Capped,75
Vipraj Nigam,India,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
Karun Nair,India,33,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
Madhav Tiwari,India,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
Ajay Mandal,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,Uncapped,30
Tripurana Vijay,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
Manvanth Kumar L,India,21,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Uncapped,30
Darshan Nalkande,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
Jasprit Bumrah,India,30,Bowler,RHB,RIGHT ARM Fast,Capped,
Hardik Pandya,India,31,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,
Suryakumar Yadav,India,34,Batsman,RHB,-,Capped,
Rohit Sharma,India,37,Batsman,RHB,-,Capped,
Trent Boult,New Zealand,35,BOWLER,RHB,LEFT ARM Fast Medium,Capped,200
Deepak Chahar,India,32,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
Tilak Varma,India,22,All-rounder,LHB,RIGHT ARM Off Spin,Capped,
Naman Dhir,India,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
Will Jacks,England,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,200
AM Ghazanfar,Afghanistan,19,BOWLER,RHB,RIGHT ARM Off Spin,Capped,75
Mitchell Santner,New Zealand,33,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,200
Ryan Rickelton,South Africa,28,WICKETKEEPER,LHB,-,Capped,100
Lizaad Williams,South Africa,31,BOWLER,LHB,RIGHT ARM Fast,Capped,75
Reece Topley,England,31,BOWLER,RHB,LEFT ARM Fast,Capped,75
Robin Minz,India,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,Uncapped,30
Karn Sharma,India,37,BOWLER,LHB,RIGHT ARM Leg Spin,Uncapped,50
Krishnan Shrijith,India,28,WICKETKEEPER,LHB,-,Uncapped,30
Raj Bawa,India,22,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Uncapped,30
Ashwani Kumar,India,23,BOWLER,LHB,LEFT ARM Fast,Uncapped,30
Vignesh Puthur,India,24,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,Uncapped,30
