Player Name,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
Nicholas Pooran,West Indies,27,WICKETKEEPER,LHB,-,Capped,200
Avesh Khan,India,26,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Marcus Stoinis,Australia,33,All-rounder,RHB,RIGHT ARM Medium,Capped,
Krunal Pandya,India,31,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Mark Wood,England,32,Bowler,RHB,RIGHT ARM Fast,Capped,
Quinton de Kock,South Africa,30,Wicketkeeper,LHB,-,Capped,
Deepak Hooda,India,27,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Ravi Bishnoi,India,22,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Krishnappa Gowtham,India,34,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Daniel Sams,Australia,30,ALL-ROUNDER,RHB,LEFT ARM Fast,Capped,75
Amit Mishra,India,40,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,50
Jaydev Unadkat,India,31,BOWLER,RHB,LEFT ARM Fast Medium,Capped,50
Kyle Mayers,West Indies,30,All-rounder,LHB,RIGHT ARM Medium,Capped,
Naveen-ul-Haq,Afghanistan,23,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,50
Romario Shepherd,West Indies,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,50
Yash Thakur,India,24,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Mohsin Khan,India,24,Bowler,LHB,LEFT ARM Fast Medium,Uncapped,
Ayush Badoni,India,23,All-rounder,RHB,RIGHT ARM Off Spin,Uncapped,
Karan Sharma,India,24,All-rounder,RHB,RIGHT ARM Off Spin,Uncapped,
Yudhvir Singh,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Mayank Yadav,India,20,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Prerak Mankad,India,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,20
Swapnil Singh,India,32,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,20
Manan Vohra,India,29,Batsman,RHB,-,Uncapped,
Hardik Pandya,India,29,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,
Rashid Khan,Afghanistan,24,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Rahul Tewatia,India,29,All-rounder,LHB,RIGHT ARM Leg Spin,Capped,
Shubman Gill,India,23,Batsman,RHB,-,Capped,
Mohammad Shami,India,32,Bowler,RHB,RIGHT ARM Fast,Capped,
Shivam Mavi,India,24,BOWLER,RHB,RIGHT ARM Fast,Uncapped,40
Josh Little,Ireland,23,BOWLER,RHB,LEFT ARM Fast,Capped,50
Yash Dayal,India,25,Bowler,LHB,LEFT ARM Fast Medium,Uncapped,
Sai Kishore,India,26,Bowler,LHB,LEFT ARM Slow Orthodox,Uncapped,
David Miller,South Africa,33,Batsman,LHB,-,Capped,
Abhinav Manohar,India,28,All-rounder,RHB,RIGHT ARM Leg Spin,Uncapped,
Alzarri Joseph,West Indies,26,Bowler,RHB,RIGHT ARM Fast,Capped,
Matthew Wade,Australia,34,Wicketkeeper,LHB,-,Capped,
Kane Williamson,New Zealand,32,BATSMAN,RHB,-,Capped,200
Wriddhiman Saha,India,38,Wicketkeeper,RHB,-,Capped,
Jayant Yadav,India,32,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Vijay Shankar,India,31,All-rounder,RHB,RIGHT ARM Medium,Capped,
KS Bharat,India,29,WICKETKEEPER,RHB,-,Uncapped,20
Mohit Sharma,India,34,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,50
Odean Smith,West Indies,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,50
Noor Ahmad,Afghanistan,17,Bowler,RHB,LEFT ARM Slow Unorthodox,Capped,
Darshan Nalkande,India,24,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Urvil Patel,India,24,WICKETKEEPER,RHB,-,Uncapped,20
Sai Sudharsan,India,21,Batsman,LHB,-,Uncapped,
Pradeep Sangwan,India,32,Bowler,RHB,LEFT ARM Fast Medium,Uncapped,
Andre Russell,West Indies,34,All-rounder,RHB,RIGHT ARM Fast,Capped,
Shreyas Iyer,India,28,Batsman,RHB,-,Capped,
Varun Chakaravarthy,India,31,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Shardul Thakur,India,31,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Lockie Ferguson,New Zealand,31,Bowler,RHB,RIGHT ARM Fast,Capped,
Venkatesh Iyer,India,28,All-rounder,LHB,RIGHT ARM Medium,Capped,
Nitish Rana,India,28,All-rounder,LHB,RIGHT ARM Off Spin,Capped,
Sunil Narine,West Indies,34,Bowler,LHB,RIGHT ARM Off Spin,Capped,
Umesh Yadav,India,35,Bowler,RHB,RIGHT ARM Fast,Capped,
Shakib Al Hasan,Bangladesh,36,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,150
Tim Southee,New Zealand,34,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
David Wiese,Namibia,37,ALL-ROUNDER,RHB,RIGHT ARM Medium,Associate,100
Narayan Jagadeesan,India,27,WICKETKEEPER,RHB,-,Uncapped,20
Vaibhav Arora,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Rinku Singh,India,25,Batsman,LHB,-,Uncapped,
Mandeep Singh,India,31,BATSMAN,RHB,-,Capped,50
Litton Das,Bangladesh,28,WICKETKEEPER,RHB,-,Capped,50
Rahmanullah Gurbaz,Afghanistan,21,Wicketkeeper,RHB,-,Capped,
Suyash Sharma,India,19,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,20
Harshit Rana,India,21,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Anukul Roy,India,24,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Kulwant Khejroliya,India,31,BOWLER,LHB,LEFT ARM Fast,Uncapped,20
Sam Curran,England,24,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,Capped,200
Liam Livingstone,England,29,All-rounder,RHB,RIGHT ARM Leg Spin,Capped,
Kagiso Rabada,South Africa,27,Bowler,LHB,RIGHT ARM Fast,Capped,
Shahrukh Khan,India,27,All-rounder,RHB,RIGHT ARM Off Spin,Uncapped,
Shikhar Dhawan,India,37,Batsman,LHB,-,Capped,
Jonny Bairstow,England,33,Wicketkeeper,RHB,-,Capped,
Rahul Chahar,India,23,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Arshdeep Singh,India,23,Bowler,LHB,LEFT ARM Fast Medium,Capped,
Harpreet Brar,India,27,Bowler,LHB,LEFT ARM Slow Orthodox,Uncapped,
Raj Bawa,India,20,All-rounder,LHB,RIGHT ARM Fast Medium,Uncapped,
Nathan Ellis,Australia,28,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Prabhsimran Singh,India,22,Wicketkeeper,RHB,-,Uncapped,
Rishi Dhawan,India,32,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,
Sikandar Raza,Zimbabwe,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,50
Bhanuka Rajapaksa,Sri Lanka,31,Batsman,LHB,-,Capped,
