Player Name,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
Rohit Sharma,India,36,Batsman,RHB,-,Capped,
Ishan Kishan,India,25,Wicketkeeper,LHB,-,Capped,
Hardik Pandya,India,30,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,0
Jasprit Bumrah,India,30,Bowler,RHB,RIGHT ARM Fast,Capped,
Tim David,Australia,27,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Suryakumar Yadav,India,33,Batsman,RHB,-,Capped,
Gerald Coetzee,South Africa,23,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,200
Nuwan Thushara,Sri Lanka,29,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,50
Dilshan Madushanka,Sri Lanka,23,BOWLER,RHB,LEFT ARM Fast,Capped,50
Dewald Brevis,South Africa,20,All-rounder,RHB,RIGHT ARM Leg Spin,Capped,
Tilak Varma,India,21,All-rounder,LHB,RIGHT ARM Off Spin,Capped,
Mohammad Nabi,Afghanistan,39,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,150
Jason Behrendorff,Australia,33,Bowler,RHB,LEFT ARM Fast Medium,Capped,
Piyush Chawla,India,34,Bowler,LHB,RIGHT ARM Leg Spin,Capped,
Romario Shepherd,West Indies,29,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,0
Arjun Tendulkar,India,24,All-rounder,LHB,LEFT ARM Fast Medium,Uncapped,
Shams Mulani,India,26,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Akash Madhwal,India,30,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Kumar Kartikeya,India,25,Bowler,RHB,LEFT ARM Slow Orthodox,Uncapped,
Vishnu Vinod,India,30,Wicketkeeper,RHB,-,Uncapped,
Shivalik Sharma,India,25,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,Uncapped,20
Naman Dhir,India,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,20
Nehal Wadhera,India,23,All-rounder,LHB,RIGHT ARM Leg Spin,Uncapped,
Anshul Kamboj,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Shreyas Gopal,India,30,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,20
KL Rahul,India,31,Wicketkeeper,RHB,-,Capped,
Nicholas Pooran,West Indies,28,Wicketkeeper,LHB,-,Capped,
Marcus Stoinis,Australia,34,All-rounder,RHB,RIGHT ARM Medium,Capped,
Krunal Pandya,India,32,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Devdutt Padikkal,India,23,Batsman,LHB,-,Capped,0
Mark Wood,England,33,Bowler,RHB,RIGHT ARM Fast,Capped,
Quinton de Kock,South Africa,31,Wicketkeeper,LHB,-,Capped,
Shivam Mavi,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,50
Deepak Hooda,India,28,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Ravi Bishnoi,India,23,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Manimaran Siddharth,India,25,BOWLER,RHB,LEFT ARM Slow Orthodox,Uncapped,20
David Willey,England,34,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,Capped,200
Ashton Turner,Australia,31,BATTER,RHB,RIGHT ARM Off Spin,Capped,100
Krishnappa Gowtham,India,35,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Amit Mishra,India,41,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Kyle Mayers,West Indies,31,All-rounder,LHB,RIGHT ARM Medium,Capped,
Naveen-ul-Haq,Afghanistan,24,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Yash Thakur,India,24,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Mohsin Khan,India,25,Bowler,LHB,LEFT ARM Fast Medium,Uncapped,
Yudhvir Singh,India,26,All-rounder,RHB,RIGHT ARM Fast,Uncapped,
Ayush Badoni,India,24,All-rounder,RHB,RIGHT ARM Off Spin,Uncapped,
Mayank Yadav,India,21,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Arshad Khan,India,26,ALL-ROUNDER,LHB,LEFT ARM Fast,Uncapped,20
Prerak Mankad,India,29,All-rounder,RHB,RIGHT ARM Medium,Uncapped,
Arshin Kulkarni,India,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Rashid Khan,Afghanistan,25,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Spencer Johnson,Australia,28,BOWLER,LHB,LEFT ARM Fast Medium,Capped,50
Rahul Tewatia,India,30,All-rounder,LHB,RIGHT ARM Leg Spin,Capped,
Shubman Gill,India,24,Batsman,RHB,-,Capped,
Shahrukh Khan,India,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,40
Mohammed Shami,India,33,Bowler,RHB,RIGHT ARM Fast,Capped,
Umesh Yadav,India,36,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
Joshua Little,Ireland,24,Bowler,RHB,LEFT ARM Fast Medium,Capped,
Robin Minz,India,21,WICKETKEEPER,LHB,-,Uncapped,20
Sai Kishore,India,27,Bowler,LHB,LEFT ARM Slow Orthodox,Capped,
David Miller,South Africa,34,Batsman,LHB,-,Capped,
Abhinav Manohar,India,29,All-rounder,RHB,RIGHT ARM Leg Spin,Uncapped,
Matthew Wade,Australia,35,Wicketkeeper,LHB,-,Capped,
Sushant Mishra,India,23,BOWLER,LHB,LEFT ARM Fast,Uncapped,20
Kane Williamson,New Zealand,33,Batsman,RHB,-,Capped,
Wriddhiman Saha,India,39,Wicketkeeper,RHB,-,Capped,
Jayant Yadav,India,33,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Vijay Shankar,India,32,All-rounder,RHB,RIGHT ARM Medium,Capped,
Kartik Tyagi,India,23,BOWLER,RHB,RIGHT ARM Fast,Uncapped,20
Mohit Sharma,India,35,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Azmatullah Omarzai,Afghanistan,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,50
Noor Ahmad,Afghanistan,18,Bowler,RHB,LEFT ARM Slow Unorthodox,Capped,
Darshan Nalkande,India,25,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Manav Suthar,India,21,BOWLER,LHB,LEFT ARM Slow Orthodox,Uncapped,20
Sai Sudharsan,India,22,Batsman,LHB,-,Uncapped,
Mitchell Starc,Australia,34,BOWLER,LHB,LEFT ARM Fast,Capped,200
Andre Russell,West Indies,35,All-rounder,RHB,RIGHT ARM Fast,Capped,
Shreyas Iyer,India,29,Batsman,RHB,-,Capped,
Varun Chakaravarthy,India,32,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Nitish Rana,India,29,All-rounder,LHB,RIGHT ARM Off Spin,Capped,
Venkatesh Iyer,India,29,All-rounder,LHB,RIGHT ARM Medium,Capped,
Sunil Narine,West Indies,35,All-rounder,LHB,RIGHT ARM Off Spin,Capped,
Jason Roy,England,33,Batsman,RHB,RIGHT ARM Medium,Capped,
Mujeeb Ur Rahman,Afghanistan,23,BOWLER,RHB,RIGHT ARM Off Spin,Capped,200
Sherfane Rutherford,West Indies,25,BATTER,LHB,RIGHT ARM Fast Medium,Capped,150
Gus Atkinson,England,26,BOWLER,RHB,RIGHT ARM Fast,Capped,100
Vaibhav Arora,India,26,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Rinku Singh,India,26,Batsman,LHB,-,Capped,
Manish Pandey,India,34,BATTER,RHB,-,Capped,50
KS Bharat,India,30,WICKETKEEPER,RHB,-,Capped,50
Chetan Sakariya,India,26,BOWLER,LHB,LEFT ARM Medium,Capped,50
Rahmanullah Gurbaz,Afghanistan,22,Wicketkeeper,RHB,-,Capped,
Angkrish Raghuvanshi,India,19,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,20
Harshit Rana,India,21,All-rounder,RHB,RIGHT ARM Fast Medium,Uncapped,
Ramandeep Singh,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Anukul Roy,India,25,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Sakib Hussain,India,19,BOWLER,RHB,RIGHT ARM Fast,Uncapped,20
Suyash Sharma,India,20,Bowler,RHB,RIGHT ARM Leg Spin,Uncapped,
Sam Curran,England,25,All-rounder,LHB,LEFT ARM Fast Medium,Capped,
Harshal Patel,India,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
Liam Livingstone,England,30,All-rounder,RHB,RIGHT ARM Leg Spin,Capped,
Kagiso Rabada,South Africa,28,Bowler,LHB,RIGHT ARM Fast,Capped,
Shikhar Dhawan,India,38,Batsman,LHB,-,Capped,
Rilee Rossouw,South Africa,34,BATTER,LHB,-,Capped,200
Jonny Bairstow,England,34,Wicketkeeper,RHB,-,Capped,
Rahul Chahar,India,24,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Chris Woakes,England,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
Arshdeep Singh,India,24,Bowler,LHB,LEFT ARM Fast Medium,Capped,
Harpreet Brar,India,28,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Nathan Ellis,Australia,29,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Prabhsimran Singh,India,23,Wicketkeeper,RHB,-,Uncapped,
Rishi Dhawan,India,33,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,
Sikandar Raza,Zimbabwe,37,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Harpreet Singh,India,32,Batsman,LHB,-,Uncapped,
Atharva Taide,India,23,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Ashutosh Sharma,India,25,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,20
Jitesh Sharma,India,30,Wicketkeeper,RHB,-,Capped,
Shashank Singh,India,20,BATTER,RHB,-,Uncapped,20
Prince Choudhary,India,24,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,20
Shivam Singh,India,27,All-rounder,RHB,RIGHT ARM Off Spin,Uncapped,
Vidwath Kaverappa,India,24,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Vishwapratap Singh,India,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,20
Tanay Thyagarajan,India,28,Bowler,LHB,LEFT ARM Slow Orthodox,Uncapped,20
Sanju Samson,India,29,Wicketkeeper,RHB,-,Capped,
Jos Buttler,England,33,Wicketkeeper,RHB,-,Capped,
Prasidh Krishna,India,27,Bowler,RHB,RIGHT ARM Fast,Capped,
Avesh Khan,India,27,Bowler,RHB,RIGHT ARM Fast Medium,Capped,0
Shimron Hetmyer,West Indies,26,Batsman,LHB,-,Capped,
Trent Boult,New Zealand,34,Bowler,RHB,LEFT ARM Fast,Capped,
Rovman Powell,West Indies,30,BATTER,RHB,RIGHT ARM Medium,Capped,100
Yuzvendra Chahal,India,33,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Shubham Dubey,India,29,BATTER,LHB,-,Uncapped,20
Ravichandran Ashwin,India,37,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Yashasvi Jaiswal,India,21,Batsman,LHB,-,Capped,
Riyan Parag,India,22,All-rounder,RHB,RIGHT ARM Leg Spin,Uncapped,
Navdeep Saini,India,31,Bowler,RHB,RIGHT ARM Fast,Capped,
Adam Zampa,Australia,31,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Sandeep Sharma,India,30,Bowler,RHB,RIGHT ARM Medium,Capped,
Donovan Ferreira,South Africa,25,Wicketkeeper,RHB,-,Uncapped,
Nandre Burger,South Africa,28,BOWLER,LHB,LEFT ARM Fast,Uncapped,20
Tom Kohler-Cadmore,England,29,WICKETKEEPER,RHB,-,Uncapped,40
Kuldeep Sen,India,27,Bowler,RHB,RIGHT ARM Fast,Uncapped,
Dhruv Jurel,India,22,Wicketkeeper,RHB,-,Uncapped,
Abid Mushtaq,India,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,20
Kunal Singh Rathore,India,21,Wicketkeeper,LHB,-,Uncapped,
Cameron Green,Australia,24,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,0
Virat Kohli,India,35,Batsman,RHB,-,Capped,
Alzarri Joseph,West Indies,27,BOWLER,RHB,RIGHT ARM Fast,Capped,100
Glenn Maxwell,Australia,35,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Mohammed Siraj,India,29,Bowler,RHB,RIGHT ARM Fast,Capped,
Faf du Plessis,South Africa,39,Batsman,RHB,-,Capped,
Dinesh Karthik,India,38,Wicketkeeper,RHB,-,Capped,
Yash Dayal,India,26,BOWLER,RHB,LEFT ARM Fast,Uncapped,20
Anuj Rawat,India,24,Wicketkeeper,LHB,-,Uncapped,
Will Jacks,England,25,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Lockie Ferguson,New Zealand,32,BOWLER,RHB,RIGHT ARM Fast,Capped,200
Reece Topley,England,29,Bowler,RHB,LEFT ARM Fast Medium,Capped,
Mayank Dagar,India,27,Bowler,RHB,LEFT ARM Slow Orthodox,Uncapped,0
Tom Curran,England,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,150
Mahipal Lomror,India,24,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Rajan Kumar,India,27,Bowler,LHB,LEFT ARM Fast Medium,Uncapped,
Karn Sharma,India,36,Bowler,LHB,RIGHT ARM Leg Spin,Capped,
Suyash Prabhudessai,India,26,All-rounder,RHB,RIGHT ARM Medium,Uncapped,
Vijaykumar Vyshak,India,27,Bowler,RHB,RIGHT ARM Medium,Uncapped,
Akash Deep,India,27,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Manoj Bhandage,India,25,All-rounder,LHB,RIGHT ARM Fast Medium,Uncapped,
Rajat Patidar,India,30,Batsman,RHB,-,Uncapped,
Himanshu Sharma,India,25,Bowler,RHB,RIGHT ARM Leg Spin,Uncapped,
Swapnil Singh,India,33,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,20
Pat Cummins,Australia,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,200
Washington Sundar,India,24,All-rounder,LHB,RIGHT ARM Off Spin,Capped,
Rahul Tripathi,India,32,Batsman,RHB,-,Capped,
Mayank Agarwal,India,32,Batsman,RHB,-,Capped,
Travis Head,Australia,30,BATTER,LHB,RIGHT ARM Off Spin,Capped,200
Abhishek Sharma,India,23,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Heinrich Klaasen,South Africa,32,Wicketkeeper,RHB,-,Capped,
Marco Jansen,South Africa,23,All-rounder,RHB,LEFT ARM Fast,Capped,
Bhuvneshwar Kumar,India,33,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Abdul Samad,India,22,All-rounder,RHB,RIGHT ARM Leg Spin,Uncapped,
Umran Malik,India,24,Bowler,RHB,RIGHT ARM Fast,Capped,
T Natarajan,India,32,Bowler,LHB,LEFT ARM Fast Medium,Capped,
Aiden Markram,South Africa,29,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Shahbaz Ahmed,India,29,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,0
Jaydev Unadkat,India,32,BOWLER,RHB,LEFT ARM Fast Medium,Capped,50
Wanindu Hasaranga,Sri Lanka,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Capped,150
Glenn Phillips,New Zealand,27,Wicketkeeper,RHB,RIGHT ARM Off Spin,Capped,
Mayank Markande,India,26,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Fazalhaq Farooqi,Afghanistan,23,Bowler,RHB,LEFT ARM Fast Medium,Capped,
Upendra Yadav,India,27,Wicketkeeper,RHB,-,Uncapped,
Jhatavedh Subramanyan,India,24,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,20
Akash Singh,India,21,BOWLER,RHB,LEFT ARM Fast,Uncapped,20
Nitish Kumar Reddy,India,20,All-rounder,RHB,RIGHT ARM Fast Medium,Uncapped,
Sanvir Singh,India,27,All-rounder,LHB,RIGHT ARM Medium,Uncapped,
Anmolpreet Singh,India,25,Batsman,RHB,-,Uncapped,
Shamar Joseph,West Indies,24,BOWLER,LHB,RIGHT ARM Fast,Uncapped,20
Dushmantha Chameera,Sri Lanka,31,Bowler,RHB,RIGHT ARM Fast,Capped,50
Sandeep Warrier,India,33,BOWLER,RHB,RIGHT ARM Fast,Capped,50
Phil Salt,England,27,WICKETKEEPER,RHB,RIGHT ARM Medium,Capped,150
Keshav Maharaj,South Africa,34,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Capped,50
Lizaad Williams,South Africa,30,BOWLER,LHB,RIGHT ARM Fast,Capped,50
Jake Fraser-McGurk,Australia,21,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,20
Luke Wood,England,28,BOWLER,LHB,LEFT ARM Fast,Capped,50
Kwena Maphaka,South Africa,17,BOWLER,LHB,LEFT ARM Fast,Uncapped,20
Tanush Kotian,India,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,20
BR Sharath,India,27,WICKETKEEPER,RHB,-,Uncapped,20
Allah Ghazanfar,Afghanistan,18,BOWLER,RHB,RIGHT ARM Off Spin,Uncapped,20
Matt Henry,New Zealand,32,BOWLER,RHB,RIGHT ARM Fast,Capped,75
Vijayakanth Viyaskanth,Sri Lanka,22,Bowler,RHB,RIGHT ARM Leg Spin,Uncapped,50
Harvik Desai,India,24,WICKETKEEPER,RHB,-,Uncapped,20
Richard Gleeson,England,36,BOWLER,RHB,RIGHT ARM Fast,Capped,50
Gulbadin Naib,Afghanistan,32,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,50
Gurnoor Brar,India,23,BOWLER,LHB,RIGHT ARM Fast,Uncapped,20
Saurav Chuahan,India,23,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,20
