Player Name,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
Ravindra Jadeja,India,35,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Daryl Mitchell,New Zealand,32,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,100
Deepak Chahar,India,31,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
MS Dhoni,India,42,Wicketkeeper,RHB,-,Capped,
Sameer Rizvi,India,20,BATTER,RHB,RIGHT ARM Leg Spin,Uncapped,20
Ruturaj Gaikwad,India,26,Batsman,RHB,-,Capped,
Moeen Ali,England,36,All-rounder,LHB,RIGHT ARM Off Spin,Capped,
Shivam Dube,India,30,All-rounder,LHB,RIGHT ARM Medium,Capped,
Shardul Thakur,India,32,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
Mustafizur Rahman,Bangladesh,28,BOWLER,LHB,LEFT ARM Fast Medium,Capped,200
Mitchell Santner,New Zealand,31,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Rachin Ravindra,New Zealand,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,50
Rajvardhan Hangargekar,India,21,All-rounder,RHB,RIGHT ARM Fast Medium,Uncapped,
Prashant Solanki,India,23,Bowler,RHB,RIGHT ARM Leg Spin,Uncapped,
Devon Conway,New Zealand,32,Wicketkeeper,LHB,-,Capped,
Maheesh Theekshana,Sri Lanka,23,Bowler,RHB,RIGHT ARM Off Spin,Capped,
Nishant Sindhu,India,19,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Ajinkya Rahane,India,35,Batsman,RHB,-,Capped,
Matheesha Pathirana,Sri Lanka,21,Bowler,RHB,RIGHT ARM Fast,Capped,
Shaik Rasheed,India,19,Batsman,RHB,-,Uncapped,
Ajay Mandal,India,27,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Simarjeet Singh,India,25,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Mukesh Choudhary,India,27,Bowler,LHB,LEFT ARM Fast Medium,Uncapped,
Tushar Deshpande,India,28,Bowler,LHB,RIGHT ARM Medium,Uncapped,
Aravelly Rao,India,18,WICKETKEEPER,LHB,-,Uncapped,20
Rishabh Pant,India,26,Wicketkeeper,LHB,-,Capped,
Axar Patel,India,29,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Prithvi Shaw,India,24,Batsman,RHB,-,Capped,
Kumar Kushagra,India,19,WICKETKEEPER,RHB,-,Uncapped,20
Mitchell Marsh,Australia,32,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,
Anrich Nortje,South Africa,30,Bowler,RHB,RIGHT ARM Fast,Capped,
David Warner,Australia,37,Batsman,LHB,-,Capped,
Mukesh Kumar,India,30,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Khaleel Ahmed,India,26,Bowler,RHB,LEFT ARM Fast Medium,Capped,
Jhye Richardson,Australia,27,BOWLER,RHB,RIGHT ARM Fast,Capped,150
Harry Brook,England,25,BATTER,RHB,-,Capped,200
Kuldeep Yadav,India,29,Bowler,LHB,LEFT ARM Slow Unorthodox,Capped,
Sumit Kumar,India,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,20
Shai Hope,West Indies,30,WICKETKEEPER,RHB,-,Capped,75
Lalit Yadav,India,28,BOWLER,RHB,RIGHT ARM Fast,Uncapped,
Ishant Sharma,India,35,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Lungi Ngidi,South Africa,27,Bowler,RHB,RIGHT ARM Fast,Capped,
Pravin Dubey,India,30,All-rounder,RHB,RIGHT ARM Leg Spin,Uncapped,
Yash Dhull,India,21,Batsman,RHB,-,Uncapped,
Tristan Stubbs,South Africa,23,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Capped,50
Rasikh Dar,India,24,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Abishek Porel,India,21,Wicketkeeper,LHB,-,Uncapped,
Vicky Ostwal,India,21,Bowler,LHB,LEFT ARM Slow Orthodox,Uncapped,
Ricky Bhui,India,27,WICKETKEEPER,RHB,-,Uncapped,20
Swastik Chikara,India,18,Batsman,RHB,-,Uncapped,20
