,Player Name,Team,Year,Price,Replacement,Retained,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
53,Jofra Archer,MI,2022,8.0,No,No,England,27,All-Rounder,RHB,Right Arm Fast,Capped,2.0
54,Suryakumar Yadav,MI,2022,8.0,No,Yes,India,31,Batsman,RHB,-,Capped,
55,Kieron Pollard,MI,2022,6.0,No,Yes,West Indies,34,All-Rounder,RHB,Right Arm Medium,Capped,
56,Dewald Brevis,MI,2022,3.0,No,No,South Africa,18,Batsman,RHB,Right Arm Leg Spin,Uncapped,0.2
57,Daniel Sams,MI,2022,2.6,No,No,Australia,29,All-Rounder,RHB,Left Arm Fast Medium,Capped,1.0
58,Tilak Varma,MI,2022,1.7,No,No,India,19,All-Rounder,LHB,Right Arm Off Spin,Uncapped,0.2
59,Murugan Ashwin,MI,2022,1.6,No,No,India,31,Bowler,RHB,Right Arm Leg Spin,Uncapped,0.2
60,Tymal Mills,MI,2022,1.5,No,No,England,29,Bowler,RHB,Left Arm Fast,Capped,1.0
61,Jaydev Unadkat,MI,2022,1.3,No,No,India,30,Bowler,RHB,Left Arm Fast Medium,Capped,0.75
62,Riley Meredith,MI,2022,1.0,No,No,Australia,25,Bowler,RHB,Right Arm Fast,Capped,1.0
63,Fabian Allen,MI,2022,0.75,No,No,West Indies,26,All-Rounder,RHB,Left Arm Slow Orthodox,Capped,0.75
64,Mayank Markande,MI,2022,0.65,No,No,India,24,Bowler,RHB,Right Arm Leg Spin,Capped,0.5
65,Sanjay Yadav,MI,2022,0.5,No,No,India,26,All-Rounder,LHB,Left Arm Slow Orthodox,Uncapped,0.2
66,Basil Thampi,MI,2022,0.3,No,No,India,28,Bowler,RHB,Right Arm Fast Medium,Uncapped,0.3
67,Arjun Tendulkar,MI,2022,0.3,No,No,India,22,All-Rounder,LHB,Left Arm Fast Medium,Uncapped,0.2
68,Ramandeep Singh,MI,2022,0.2,No,No,India,24,All-Rounder,RHB,Right Arm Fast,Uncapped,0.2
69,Anmolpreet Singh,MI,2022,0.2,No,No,India,24,Batsman,RHB,Right Arm Off Spin,Uncapped,0.2
70,Aryan Juyal,MI,2022,0.2,No,No,India,20,Wicketkeeper,RHB,-,Uncapped,0.2
71,Arshad Khan,MI,2022,0.2,No,No,India,24,All-Rounder,LHB,Left Arm Fast Medium,Uncapped,0.2
