,match_id,winner,venue,year,toss_winner,toss_decision,match_type,team_1,team_1_score,team_1_wickets,team_1_balls_faced,team_2,team_2_score,team_2_wickets,team_2_balls_faced
267,1426311,SRH,"MA Chidambaram Stadium, Chepauk, Chennai",2024,RR,field,Qualifier 2,SRH,175,9,120,RR,139,7,120
268,1422128,KKR,"M Chinnaswamy Stadium, Bengaluru",2024,KKR,field,Group Stage,RCB,182,6,120,KKR,186,3,105
269,1359524,DC,"Arun Jaitley Stadium, Delhi",2023,RCB,bat,Group Stage,RCB,181,4,120,DC,187,3,103
270,1426307,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,PBKS,bat,Group Stage,PBKS,214,5,120,SRH,215,6,120
271,1473465,RCB,"Sawai Mansingh Stadium, Jaipur",2025,RCB,field,Group Stage,RR,173,4,120,RCB,175,1,111
272,1426262,GT,"Sawai Mansingh Stadium, Jaipur",2024,GT,field,Group Stage,RR,196,3,120,GT,199,7,120
273,1359504,GT,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,GT,bat,Group Stage,GT,135,6,120,LSG,128,7,120
274,1304085,RR,"Maharashtra Cricket Association Stadium, Pune",2022,RCB,field,Group Stage,RR,144,8,120,RCB,115,10,120
275,1473500,RR,"Arun Jaitley Stadium, Delhi",2025,RR,field,Group Stage,CSK,187,8,120,RR,188,4,107
276,1473445,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",2025,CSK,field,Group Stage,RCB,196,7,120,CSK,146,8,120
277,1304093,KKR,"Wankhede Stadium, Mumbai",2022,KKR,field,Group Stage,RR,152,5,120,KKR,158,3,120
278,1473453,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,MI,field,Group Stage,LSG,203,8,120,MI,191,5,120
279,1359512,LSG,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,PBKS,field,Group Stage,LSG,257,5,120,PBKS,201,10,120
280,1426274,KKR,"Eden Gardens, Kolkata",2024,RCB,field,Group Stage,KKR,222,6,120,RCB,221,10,120
281,1304115,MI,"Wankhede Stadium, Mumbai",2022,MI,field,Group Stage,DC,159,7,120,MI,160,5,119
282,1304050,GT,"Wankhede Stadium, Mumbai",2022,GT,field,Group Stage,LSG,158,6,120,GT,161,5,120
283,1473490,KKR,"Eden Gardens, Kolkata",2025,KKR,bat,Group Stage,KKR,206,4,120,RR,205,8,120
284,1359494,RCB,"M Chinnaswamy Stadium, Bengaluru",2023,DC,field,Group Stage,RCB,174,6,120,DC,151,9,120
285,1422132,RR,"Wankhede Stadium, Mumbai",2024,RR,field,Group Stage,MI,125,9,120,RR,127,4,99
286,1359482,PBKS,"Barsapara Cricket Stadium, Guwahati",2023,RR,field,Group Stage,PBKS,197,5,120,RR,192,7,120
287,1359528,MI,"Wankhede Stadium, Mumbai",2023,MI,field,Group Stage,RCB,199,6,120,MI,200,4,106
288,1370350,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2023,GT,field,Qualifier 1,CSK,172,7,120,GT,157,10,120
289,1422124,RCB,"M Chinnaswamy Stadium, Bengaluru",2024,RCB,field,Group Stage,PBKS,176,6,120,RCB,178,6,120
290,1304103,GT,"Maharashtra Cricket Association Stadium, Pune",2022,GT,bat,Group Stage,GT,144,4,120,LSG,82,10,86
291,1473469,No Result,"Arun Jaitley Stadium, Delhi",2025,RR,field,Group Stage,DC,188,5,120,RR,188,5,120
292,1473486,PBKS,"MA Chidambaram Stadium, Chepauk, Chennai",2025,PBKS,field,Group Stage,CSK,190,10,120,PBKS,194,6,120
